Date,XLK,XLC,XLY,XLV,XLB,XLP,XLU,XLI,XLF,XLE,VNQ,TLT,IEF,SHV,LQD,HYG,PICB,IGLB,IGIB,IWR,SPY,IWM,QUAL,MTUM,SPLV,SLYV,SPYV,SPYG,EEM,EFA,ACWI,GLD,SLV,USO,DBA,UNG
3/26/2019,72.101067,46.570438,110.884941,88.663971,53.020924,53.73901,56.551331,71.667175,24.774292,60.58577,82.529922,121.481049,103.936829,107.953392,113.588493,80.034149,25.864235,56.799122,52.51416,52.340805,274.283966,149.162186,85.920334,109.689224,50.995014,58.056515,28.995821,36.36927,41.212627,61.770687,69.49015,124.300003,14.47,99.760002,16.550062,24.18
3/27/2019,71.688507,46.234409,110.658867,87.925018,52.952904,53.555565,56.158077,71.745071,24.667547,60.157188,82.292824,122.598953,104.239319,107.943634,113.741432,80.089981,25.746445,56.998318,52.619133,52.115658,272.849701,148.582672,85.548805,109.149406,50.839718,58.183079,28.899298,36.153252,40.768238,61.799316,69.170853,123.650002,14.32,98.720001,16.451607,23.969999
3/28/2019,71.983185,46.12569,111.327263,88.148651,53.467945,53.81625,55.496269,72.270821,24.881033,60.385155,83.091354,123.026642,104.249084,107.972923,113.884811,80.248146,25.569765,57.09317,52.647758,52.477844,273.883942,149.908676,85.949677,109.384949,50.839718,58.738045,29.03443,36.280899,41.038734,61.646606,69.374031,121.900002,14.07,98.800003,16.392536,23.91
3/29/2019,72.69046,46.224522,111.907181,89.20845,53.934406,54.173477,55.793606,73.049698,24.948961,60.293972,83.014938,122.910011,104.083199,107.982712,113.798782,80.452835,25.687553,57.244942,52.619133,52.810665,275.610931,150.370331,86.575409,110.101433,51.092068,58.708832,29.227478,36.53619,41.463806,61.904308,69.809448,122.010002,14.18,100,16.215319,23.48
4/1/2019,73.682564,46.926243,113.135849,89.344582,54.740997,53.990028,55.409943,74.5588,25.560316,61.087307,82.967186,121.164192,103.367485,107.982704,113.375046,80.433212,25.658104,56.823219,52.334812,53.417572,278.879425,152.010651,87.474884,110.484207,51.150314,59.604557,29.603922,36.889671,42.149715,62.696487,70.660896,121.529999,14.15,102.559998,16.353155,23.780001
4/2/2019,73.937973,47.173332,113.116203,89.140388,54.925636,53.54591,55.486671,74.529587,25.540905,60.667835,83.54985,121.388268,103.54348,108.012062,113.528427,80.470604,25.667919,56.89938,52.40184,53.417572,279.016022,151.617783,87.553108,110.278099,51.227951,59.234581,29.584618,36.928951,42.014473,62.715572,70.631874,121.980003,14.16,104.080002,16.402382,23.67
4/3/2019,74.537178,47.351231,113.912369,89.023712,55.64476,53.285233,55.400349,74.305649,25.618538,60.084232,83.45433,120.336098,103.220818,107.992493,113.288765,80.498627,25.609028,56.680416,52.382683,53.632927,279.455078,152.403564,87.64109,110.229027,51.21825,59.48772,29.642532,37.0075,42.304291,63.202328,70.960831,121.800003,14.2,103.919998,16.520527,23.5
4/4/2019,74.222847,47.61808,114.836342,88.838982,56.208401,53.487984,55.208527,74.763245,25.773804,60.58577,83.320602,120.677094,103.328369,108.04142,113.470909,80.620117,25.628658,56.794659,52.440128,53.721027,280.196594,153.15007,87.846405,109.983658,51.121193,60.081627,29.79697,37.017319,42.565132,63.068714,71.067268,122.110001,14.22,103.360001,16.727278,23.25
4/5/2019,74.576462,47.756447,115.514549,89.451523,56.188961,53.671421,55.72646,74.977448,25.812618,61.652676,83.903259,120.832939,103.377274,108.031616,113.653084,80.769623,25.481426,56.975533,52.497555,54.08321,281.552826,154.584122,88.29615,110.444946,51.383244,60.568432,29.95141,37.14497,42.893593,63.230965,71.338188,121.980003,14.17,105.199997,16.648516,23.5
4/8/2019,74.861336,47.667496,115.927399,89.432076,56.208401,53.893482,55.33321,74.656151,25.841728,61.926239,83.435234,120.404305,103.211044,108.051201,113.490089,80.722908,25.589396,56.89938,52.440128,54.112576,281.767456,154.328751,88.403694,110.513649,51.237667,60.558701,30.028627,37.154781,42.893593,63.269142,71.42527,122.510002,14.31,107.199997,16.589443,23.85
4/9/2019,74.507698,47.795986,114.885483,89.198723,55.800243,53.825897,55.467491,73.6436,25.628242,61.16938,82.995842,120.784264,103.39682,108.031616,113.729767,80.666855,25.609028,57.070728,52.526276,53.68187,280.323425,152.442856,87.914841,110.336983,51.130901,59.721394,29.806622,37.027138,42.806648,62.868282,71.047913,123.150002,14.28,106.639999,16.540216,23.83
4/10/2019,75.028328,48.003532,115.435928,89.227898,55.771088,53.980381,55.294849,73.624138,25.705875,61.397346,83.759995,121.076523,103.641273,108.060982,114.285812,81.021942,25.707186,57.375362,52.72731,54.01469,281.279633,154.515366,88.29615,110.660873,51.266785,60.607372,29.903147,37.14497,43.009525,63.106892,71.347862,123.529999,14.28,107.279999,16.589443,23.74
